1,21.11.2022 17:34:09,+375(29)9997890
2,21.11.2022 17:34:10,+375(25)7777765
3,21.11.2022 17:34:10,+375(33)3652193
4,21.11.2022 17:34:10,+375(33)3652193
5,21.11.2022 17:34:10,+375(33)3652193
6,21.11.2022 17:34:10,+375(29)9997890
7,21.11.2022 17:34:10,+375(25)7777765
8,21.11.2022 17:34:10,+375(33)3652193
9,21.11.2022 17:34:10,+375(33)3652193
10,21.11.2022 17:34:10,+375(33)3652193
11,21.11.2022 17:34:11,+375(29)9997890
12,21.11.2022 17:34:11,+375(25)7777765
13,21.11.2022 17:34:11,+375(33)3652193
14,21.11.2022 17:34:11,+375(33)3652193
15,21.11.2022 17:34:11,+375(33)3652193
16,21.11.2022 17:34:11,+375(29)9997890
17,21.11.2022 17:34:11,+375(25)7777765
18,21.11.2022 17:34:11,+375(33)3652193
19,21.11.2022 17:34:11,+375(33)3652193
20,21.11.2022 17:34:12,+375(33)3652193
21,21.11.2022 17:34:12,+375(29)9997890
22,21.11.2022 17:34:12,+375(25)7777765
23,21.11.2022 17:34:12,+375(33)3652193
24,21.11.2022 17:34:12,+375(33)3652193
25,21.11.2022 17:34:12,+375(33)3652193
26,21.11.2022 17:34:12,+375(29)9997890
27,21.11.2022 17:34:12,+375(25)7777765
28,21.11.2022 17:34:12,+375(33)3652193
29,21.11.2022 17:34:13,+375(33)3652193
30,21.11.2022 17:34:13,+375(33)3652193
31,21.11.2022 17:34:13,+375(29)9997890
32,21.11.2022 17:34:13,+375(25)7777765
33,21.11.2022 17:34:13,+375(33)3652193
34,21.11.2022 17:34:13,+375(33)3652193
35,21.11.2022 17:34:13,+375(33)3652193
36,21.11.2022 17:34:13,+375(29)9997890
37,21.11.2022 17:34:13,+375(25)7777765
38,21.11.2022 17:34:13,+375(33)3652193
39,21.11.2022 17:34:14,+375(33)3652193
40,21.11.2022 17:34:14,+375(33)3652193
41,21.11.2022 17:34:14,+375(29)9997890
42,21.11.2022 17:34:14,+375(25)7777765
43,21.11.2022 17:34:14,+375(33)3652193
44,21.11.2022 17:34:14,+375(33)3652193
45,21.11.2022 17:34:14,+375(33)3652193
46,21.11.2022 17:34:14,+375(29)9997890
47,21.11.2022 17:34:14,+375(25)7777765
48,21.11.2022 17:34:15,+375(33)3652193
49,21.11.2022 17:34:15,+375(33)3652193
50,21.11.2022 17:34:15,+375(33)3652193
